Date;Revenue;Cost of sales;Gross profit;Operating profit;Net profit;Headline earnings;Shares in issue;Non-current assets;Current assets;Non-current liabilities;Current liabilities;Cash from operations;Cash from investing;Cash from financing;Change in cash;Full year;Half year
14-08-2002;19664 ;-10609 ;9055 ;3242;621;2402;1327000000;300635;115786;12232;372126;20317;-1963;-192;18162;0;1
06-03-2003;42665 ;-22652 ;20013 ;1369;996;5263;1328000000;297008;92690;10733;346905;11939;-5379;-1082;5478;1;0
14-08-2003;24848 ;-14046 ;10802 ;4259;4291;2926;1332000000;311741;206859;11532;474953;2961;-2800;-1186;-1025;0;1
11-03-2004;52228 ;-29523 ;22705 ;8771;6071;6346;1344000000;336583;203807;11000;494302;5612;-5863;-1759;-2010;1;0
19-08-2004;27368 ;-15471 ;11898 ;4691;3275;3360;1342000000;351719;181361;11051;485460;11791;-2763;-1576;7452;0;1
10-03-2005;50254 ;-24803 ;25451 ;10209;7342;7648;1322000000;382532;233045;12557;564456;16896;1014;-4037;13873;1;0
20-08-2005;26258 ;-12765 ;13493 ;6901;4374;3941;1204000000;471487;227420;11055;650210;29824;-4237;-1548;24039;0;1
09-03-2006;55415;-26917 ;28498 ;14582;9297;9013;1353382000;512509;243169;33936;681778;46915;-5377;-1907;39631;1;0
16-08-2006;31142;-15930;15212 ;8733;6019;4653;1379172000;629669;301642;62475;820045;13770;-2702;1744;12812;0;1
07-03-2007;70567;-36934;33633 ;18943;12510;10188;1380416000;682218;286773;51893;861854;14162;-13511;2187;2838;1;0
15-08-2007;41040 ;-20255 ;20785 ;10630 ;7645;5933;1386926000;885062;202847;68498;959641;7879;-7279;-2616;-2016;0;1
05-03-2008;97130 ;-50837 ;46293 ;23258;16572;12721;1388217000;687893;494182;656268;457371;17738;-14001;-1115;2622;1;0
13-08-2008;42302;-22140 ;20162 ;12449;9183;7241;1486991000;780254;574193;22486;1234898;-8585;-2212;12791;1994;0;1
05-03-2009;130873;-83694;47179 ;22573;16749;13932;1447886288;1123651;380002;69109;1335043;-942;-10885;7550;-4277;1;0
13-08-2009;41091;-26278 ;14813 ;7210;5039;5111;1487924000;754356;572290;23761;1207440;212;-1182;557;-413;0;1
04-03-2010;106286;-55629 ;50657 ;18395;11996;11054;1511038000;771635;568165;26656;1213775;6295;-7372;2887;1810;1;0
12-08-2010;44250 ;-21840 ;22410 ;9757;6914;5897;1539165000;769503;545541;26727;1184311;9338;-6001;-2775;562;0;1
03-03-2011;109895;-54239 ;55656 ;18992;13007;10774;1548001000;768066;568242;23138;1209972;27164;-13912;-7810;5442;1;0
11-08-2011;49573;-24467 ;25106 ;11542;7823;6580;1557675000;809729;564741;23473;1243864;10905;-4128;-4555;2222;0;1
08-03-2012;107387;-60703 ;46684 ;22017;15784;13400;1557415000;900472;592357;52693;1322603;24605;-10138;-8388;6079;1;0
16-08-2012;63452;-30821 ;32631 ;11963;8549;7166;1568121000;914013;628347;57167;1365277;4268;-197;-2370;1701;0;1
07-03-2013;68707;-38838 ;29869 ;19151;15632;15010;1573835000;883930;660290;31548;1382499;42954;-14514;-3820;24620;1;0
15-08-2013;67376;-33254 ;34122 ;13389;9664;8046;1594734000;987582;711136;30956;1523639;-6455;-602;-3285;-10342;0;1
06-03-2014;158646;-78300 ;80346 ;29770;20006;16986;1598161000;1089966;600963;159020;1379261;24020;-17345;-9238;-2563;1;0
14-08-2014;81857;-46272 ;35585 ;15848;10259;8230;1621109000;1140506;627771;158792;1452375;-863;-4693;-8691;-14247;0;1
05-03-2015;84240;-47619 ;36621 ;28189;18145;17323;1617008000;1216860;685985;207590;1533621;29654;-8298;-10262;11094;1;0
14-08-2015;43248;-27657 ;15591 ;13449;13260;10529;1623184000;1187121;669699;133187;1556904;15841;-28435;-5956;-18550;0;1
03-03-2016;91115;-44970 ;46145 ;30310;23458;22022;1611522000;1219691;759658;32235;1768206;35504;-31828;-11509;-7833;1;0
20-08-2016;61558;-34797 ;26761 ;18970;13055;10861;1618260000;1272568;675204;29296;1742219;10839;1969;-5736;7072;0;1
02-03-2017;121222;-68524 ;52698 ;38080;25794;23009;1619444000;1194577;759713;26792;1748139;40255;-13377;-12030;14848;1;0
17-08-2017;61433;-34727 ;26706 ;19687;14633;12340;1622574000;1243822;708697;24954;1743748;17401;-10382;-5944;1075;0;1
08-03-2018;127556;-75312;52244 ;42834;30715;26235;1621921000;1175316;852612;347207;1490704;24137;-8415;-12674;3048;1;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
